Id,公司名,HR邮箱,地址,规模,类型,领域,公司全称,网址,详细地址,信息
,搜狐视频,webmaster@vip.sohu jubao@contact.sohu.com jubao@contact.sohu.co kf@vip.sohu.com ext_app_qual@baidu.com media@sohu-inc.com,北京市,,,,搜狐视频,,,搜狐视频
1,ZANK飞赞,contact@feizan.com 2880623741@qq.com,北京市,15人以下,私企,互联网,知春畅想（北京）科技有限公司,http://www.zank.mobi,北京朝阳区呼家楼,知春畅想（北京）科技有限公司http://www.zank.mobi北京朝阳区呼家楼
2,世鳌国际商务中心,zhangrentong@servoffice.com 如发现侵权违规问题请发邮件至2697327695@qq.com jackie363920@163.com hr@servoffice.com yirujiwang1128@ahoo.com.cn zhanglihong@servoffice.com,北京市,150-500人,私企,互联网,ServOffice,http://www.servoffice.com/,北京市朝阳区南郎家园18号恋日国际大厦3层,ServOfficehttp://www.servoffice.com/北京市朝阳区南郎家园18号恋日国际大厦3层
3,三思德科技,110@zbj.com,成都市,50-150人,私企,移动互联网,四川三思德科技有限公司,http://www.sanside.net,四川省成都市高新区天益街38号理想中心2栋12楼1212-1215号,四川三思德科技有限公司http://www.sanside.net四川省成都市高新区天益街38号理想中心2栋12楼1212-1215号
4,北京金瑞昌资产管理有限公司,bjjrczcgl@163.com jisafjo@123.com,北京市,,,,北京金瑞昌资产管理有限公司,,,北京金瑞昌资产管理有限公司
6,互动阳光,zhangyj@alltosun.com vdisk@sina.cn service@alltosun.com 请将您的简历发送到hr@alltosun.com,北京市,15-50人,私企,互联网,北京互动阳光科技有限公司,http://www.alltosun.com,朝阳区北苑路13号领地Office大厦B座1101,北京互动阳光科技有限公司http://www.alltosun.com朝阳区北苑路13号领地Office大厦B座1101
7,诚迈科技（南京）有限公司,002251@archermind.com,南京市,2000人以上,外企,IT/软件,诚迈科技（南京）有限公司,http://www.archermind.com,南京市雨花台区软件大道180号南京南海生物科技园1-A2栋,诚迈科技（南京）有限公司http://www.archermind.com南京市雨花台区软件大道180号南京南海生物科技园1-A2栋
9,和君咨询,26064616@qq.com,北京市,,,,和君咨询,,,和君咨询
10,元培翻译南京分公司,service@pkuyy.com rc@pkuyy.com training@pkuyy.com wlwh@vip.sina.com,南京市,,,,元培翻译南京分公司,,,元培翻译南京分公司
11,苏宁,评价为您推荐：苏宁易购售后邮箱suningvanward@163.com spubcloud@cnsuning.com gometmall@sina.com ygxx1200@cnsuning.com biyesheng@cnsuning.com cloud@cnsuning.com yanwei@cti-cert.com fpclb@cnsuning.com nanjingzp@cnsuning.com sncwfw@cnsuning.com stock@cnsuning.com sopdata@cnsuning.com 852098557@139.com 819706057@qq.com,南京市,,,,苏宁,,,苏宁
